cantonId,cantonLabel,municipalityId,municipalityLabel
Q11972,Canton of Aargau,Q659067,Eggenwil
Q834,Canton of Valais,Q67486,Eggerberg
Q12746,Canton of St. Gallen,Q66868,Eggersriet
Q11911,Canton of Berne,Q67393,Eggiwil
Q11943,Canton of Zürich,Q69175,Eglisau
Q11972,Canton of Aargau,Q65155,Egliswil
Q12713,Canton of Thurgau,Q65029,Egnach
Q12121,Canton of Lucerne,Q14589,Egolzwil
Q11972,Canton of Aargau,Q65294,Ehrendingen
Q12121,Canton of Lucerne,Q7147,Eich
Q12746,Canton of St. Gallen,Q66271,Eichberg
Q11972,Canton of Aargau,Q66433,Eiken
Q12433,Canton of Schwyz,Q68950,Einsiedeln
Q834,Canton of Valais,Q70391,Eischoll
Q834,Canton of Valais,Q67088,Eisten
Q11943,Canton of Zürich,Q67137,Elgg
Q11943,Canton of Zürich,Q65769,Ellikon an der Thur
Q11943,Canton of Zürich,Q64832,Elsau
Q834,Canton of Valais,Q68026,Embd
Q11943,Canton of Zürich,Q65877,Embrach
Q12121,Canton of Lucerne,Q4225,Emmen
Q12592,Canton of Nidwalden,Q69177,Emmetten
Q11972,Canton of Aargau,Q69438,Endingen
Q12573,Canton of Obwalden,Q64108,Engelberg
Q12738,Canton of Neuchâtel,Q68546,Enges
Q11972,Canton of Aargau,Q64424,Ennetbaden
Q12592,Canton of Nidwalden,Q64310,Ennetbürgen
Q12592,Canton of Nidwalden,Q64599,Ennetmoos
Q12121,Canton of Lucerne,Q14547,Entlebuch
Q12771,Canton of Vaud,Q69252,Epalinges
Q12771,Canton of Vaud,Q69403,Ependes
Q11929,Canton of Solothurn,Q65597,Eppenberg-Wöschnau
Q11911,Canton of Berne,Q67371,Epsach
Q12146,Canton of Basel-Landschaft,Q64715,Eptingen
Q834,Canton of Valais,Q68609,Ergisch
Q11911,Canton of Berne,Q65744,Eriswil
Q11911,Canton of Berne,Q64997,Eriz
Q11911,Canton of Berne,Q69453,Erlach
Q12713,Canton of Thurgau,Q65439,Erlen
Q11943,Canton of Zürich,Q69203,Erlenbach
Q11911,Canton of Berne,Q66132,Erlenbach im Simmental
Q11972,Canton of Aargau,Q65415,Erlinsbach
Q11929,Canton of Solothurn,Q66252,Erlinsbach
Q12713,Canton of Thurgau,Q65127,Ermatingen
Q12121,Canton of Lucerne,Q7115,Ermensee
Q834,Canton of Valais,Q70347,Ernen
Q11929,Canton of Solothurn,Q66775,Erschwil
Q11911,Canton of Berne,Q67636,Ersigen
Q12404,Canton of Uri,Q69642,Erstfeld
Q12121,Canton of Lucerne,Q7092,Eschenbach
Q12746,Canton of St. Gallen,Q66824,Eschenbach
Q12713,Canton of Thurgau,Q65080,Eschenz
Q11911,Canton of Berne,Q67574,Eschert
Q12713,Canton of Thurgau,Q65026,Eschlikon
Q12121,Canton of Lucerne,Q14550,Escholzmatt-Marbach
Q12771,Canton of Vaud,Q68674,Essertines-sur-Rolle
Q12771,Canton of Vaud,Q68735,Essertines-sur-Yverdon
Q12640,Canton of Fribourg,Q28035756,Estavayer
Q12771,Canton of Vaud,Q68739,Etagnières
Q12771,Canton of Vaud,Q70216,Etoy
Q12146,Canton of Basel-Landschaft,Q70012,Ettingen
Q12121,Canton of Lucerne,Q14592,Ettiswil
Q11929,Canton of Solothurn,Q66682,Etziken
Q11911,Canton of Berne,Q70093,Evilard
Q834,Canton of Valais,Q70163,Evionnaz
Q834,Canton of Valais,Q69551,Evolène
Q12771,Canton of Vaud,Q69287,Eysins
Q11911,Canton of Berne,Q65487,Fahrni
Q11972,Canton of Aargau,Q64982,Fahrwangen
Q12755,Canton of Jura,Q67959,Fahy
Q12724,Canton of Ticino,Q69673,Faido
Q11925,Canton of the Grisons,Q65086,Falera
Q11943,Canton of Zürich,Q64869,Fällanden
Q12771,Canton of Vaud,Q70559,Faoug
Q11911,Canton of Berne,Q68591,Farnern
Q12771,Canton of Vaud,Q70260,Féchy
Q11943,Canton of Zürich,Q70369,Fehraltorf
Q11929,Canton of Solothurn,Q66765,Fehren
Q12713,Canton of Thurgau,Q64837,Felben-Wellhausen
Q11929,Canton of Solothurn,Q66969,Feldbrunnen-St. Niklaus
Q11925,Canton of the Grisons,Q64961,Felsberg
Q834,Canton of Valais,Q68033,Ferden
Q11911,Canton of Berne,Q65886,Ferenbalm
Q12640,Canton of Fribourg,Q66422,Ferpicloz
Q11925,Canton of the Grisons,Q70463,Ferrera
Q12771,Canton of Vaud,Q68500,Ferreyres
Q12640,Canton of Fribourg,Q70311,Fétigny
Q12640,Canton of Fribourg,Q133571724,Fétigny-Ménières
Q11943,Canton of Zürich,Q66283,Feuerthalen
Q12433,Canton of Schwyz,Q69654,Feusisberg
Q12771,Canton of Vaud,Q68915,Fey
Q11925,Canton of the Grisons,Q64643,Fideris
Q834,Canton of Valais,Q68051,Fiesch
Q834,Canton of Valais,Q70716,Fieschertal
Q12771,Canton of Vaud,Q68861,Fiez
Q834,Canton of Valais,Q68877,Finhaut
Q11911,Canton of Berne,Q69950,Finsterhennen
Q12121,Canton of Lucerne,Q14594,Fischbach
Q11972,Canton of Aargau,Q64948,Fischbach-Göslikon
Q11943,Canton of Zürich,Q65854,Fischenthal
Q12713,Canton of Thurgau,Q65525,Fischingen
Q11972,Canton of Aargau,Q66109,Fisibach
Q11972,Canton of Aargau,Q64469,Fislisbach
Q11943,Canton of Zürich,Q70367,Flaach
Q11925,Canton of the Grisons,Q65386,Fläsch
Q12746,Canton of St. Gallen,Q65506,Flawil
Q11925,Canton of the Grisons,Q64800,Flerden
Q11925,Canton of the Grisons,Q65049,Flims
Q12404,Canton of Uri,Q69665,Flüelen
Q12121,Canton of Lucerne,Q14552,Flühli
Q11929,Canton of Solothurn,Q67334,Flumenthal
Q12746,Canton of St. Gallen,Q69954,Flums
Q11943,Canton of Zürich,Q66757,Flurlingen
Q12771,Canton of Vaud,Q70551,Fontaines-sur-Grandson
Q12755,Canton of Jura,Q68780,Fontenais
Q12771,Canton of Vaud,Q70565,Forel
Q11911,Canton of Berne,Q67775,Forst-Längenbühl
Q12771,Canton of Vaud,Q69331,Founex
Q12640,Canton of Fribourg,Q68562,Fräschels
Q11911,Canton of Berne,Q10317,Fraubrunnen
Q12713,Canton of Thurgau,Q68120,Frauenfeld
Q11911,Canton of Berne,Q69680,Frauenkappelen
Q12433,Canton of Schwyz,Q69780,Freienbach
Q11943,Canton of Zürich,Q66964,Freienstein-Teufen
Q11972,Canton of Aargau,Q64402,Freienwil
Q11911,Canton of Berne,Q67616,Freimettigen
Q12146,Canton of Basel-Landschaft,Q66593,Frenkendorf
Q12640,Canton of Fribourg,Q36378,Fribourg
Q11972,Canton of Aargau,Q66617,Frick
Q12771,Canton of Vaud,Q68720,Froideville
Q11911,Canton of Berne,Q66208,Frutigen
Q11929,Canton of Solothurn,Q65312,Fulenbach
Q11972,Canton of Aargau,Q66101,Full-Reuenthal
Q12146,Canton of Basel-Landschaft,Q66523,Füllinsdorf
Q834,Canton of Valais,Q70137,Fully
Q11925,Canton of the Grisons,Q65044,Furna
Q11925,Canton of the Grisons,Q64805,Fürstenau
Q12697,Canton of Schaffhausen,Q66500,Gächlingen
Q12713,Canton of Thurgau,Q64840,Gachnang
Q12079,Canton of Appenzell Ausserrhoden,Q67171,Gais
Q12746,Canton of St. Gallen,Q66781,Gaiserwald
Q12433,Canton of Schwyz,Q66580,Galgenen
Q11911,Canton of Berne,Q67241,Gals
Q12724,Canton of Ticino,Q70234,Gambarogno
Q834,Canton of Valais,Q70639,Gampel-Bratsch
Q11911,Canton of Berne,Q67387,Gampelen
Q12746,Canton of St. Gallen,Q67315,Gams
Q11972,Canton of Aargau,Q67348,Gansingen
Q11972,Canton of Aargau,Q64486,Gebenstorf
Q12146,Canton of Basel-Landschaft,Q65936,Gelterkinden
Q11972,Canton of Aargau,Q65033,Geltwil
Q11929,Canton of Solothurn,Q66542,Gempen
Q11917,Canton of Geneva,Q71,Geneva
Q12771,Canton of Vaud,Q69290,Genolier
Q11917,Canton of Geneva,Q48923,Genthod
Q11929,Canton of Solothurn,Q65629,Gerlafingen
Q11943,Canton of Zürich,Q66660,Geroldswil
Q12433,Canton of Schwyz,Q64380,Gersau
Q11911,Canton of Berne,Q67014,Gerzensee
Q12121,Canton of Lucerne,Q7142,Geuensee
Q12640,Canton of Fribourg,Q19843360,Gibloux
Q12146,Canton of Basel-Landschaft,Q66741,Giebenach
Q12771,Canton of Vaud,Q70661,Giez
Q12640,Canton of Fribourg,Q66476,Giffers
Q12771,Canton of Vaud,Q70383,Gilly
Q12771,Canton of Vaud,Q70245,Gimel
Q12771,Canton of Vaud,Q69337,Gingins
Q12724,Canton of Ticino,Q67763,Giornico
Q11972,Canton of Aargau,Q66986,Gipf-Oberfrick
Q12121,Canton of Lucerne,Q14567,Gisikon
Q12573,Canton of Obwalden,Q69248,Giswil
Q12640,Canton of Fribourg,Q66461,Givisiez
Q12771,Canton of Vaud,Q69315,Givrins
Q12771,Canton of Vaud,Q69300,Gland
Q11922,Canton of Glarus,Q63912,Glarus
Q11922,Canton of Glarus,Q70635,Glarus Nord
Q11922,Canton of Glarus,Q70695,Glarus Süd
Q11943,Canton of Zürich,Q68399,Glattfelden
Q12640,Canton of Fribourg,Q68573,Gletterens
Q12746,Canton of St. Gallen,Q66790,Goldach
Q12771,Canton of Vaud,Q70594,Gollion
Q12746,Canton of St. Gallen,Q66744,Gommiswald
Q834,Canton of Valais,Q26836831,Goms
Q11911,Canton of Berne,Q65477,Gondiswil
Q12094,Canton of Appenzell Innerrhoden,Q64604,Gonten
Q11972,Canton of Aargau,Q65333,Gontenschwil
Q12724,Canton of Ticino,Q69671,Gordola
Q12724,Canton of Ticino,Q69797,Gorduno
Q12404,Canton of Uri,Q69639,Göschenen
Q12746,Canton of St. Gallen,Q69777,Gossau
Q11943,Canton of Zürich,Q67525,Gossau
Q12713,Canton of Thurgau,Q66302,Gottlieben
Q12771,Canton of Vaud,Q70741,Goumoëns
Q11911,Canton of Berne,Q67642,Graben
Q12746,Canton of St. Gallen,Q67048,Grabs
Q834,Canton of Valais,Q70097,Grächen
Q12724,Canton of Ticino,Q67969,Grancia
Q12771,Canton of Vaud,Q68638,Grancy
Q12771,Canton of Vaud,Q70190,Grandcour
Q12771,Canton of Vaud,Q70687,Grandevent
Q12755,Canton of Jura,Q67982,Grandfontaine
Q12771,Canton of Vaud,Q70199,Grandson
Q11911,Canton of Berne,Q67029,Grandval
Q12640,Canton of Fribourg,Q66887,Grandvillard
Q12640,Canton of Fribourg,Q68420,Granges
Q12640,Canton of Fribourg,Q67060,Granges-Paccot
Q12640,Canton of Fribourg,Q69928,Grangettes
Q11972,Canton of Aargau,Q64267,Gränichen
Q12724,Canton of Ticino,Q69385,Gravesano
Q11943,Canton of Zürich,Q64882,Greifensee
Q12146,Canton of Basel-Landschaft,Q66821,Grellingen
Q11929,Canton of Solothurn,Q68248,Grenchen
Q12640,Canton of Fribourg,Q69885,Greng
Q834,Canton of Valais,Q67332,Grengiols
Q12771,Canton of Vaud,Q69285,Grens
Q12121,Canton of Lucerne,Q14568,Greppen
Q11929,Canton of Solothurn,Q65965,Gretzenbach
Q834,Canton of Valais,Q69579,Grimisuat
Q11929,Canton of Solothurn,Q66354,Grindel
Q11911,Canton of Berne,Q64004,Grindelwald
Q12640,Canton of Fribourg,Q67037,Grolley
Q12640,Canton of Fribourg,Q20012496,Grolley-Ponthaux
Q834,Canton of Valais,Q70151,Grône
Q11925,Canton of the Grisons,Q66181,Grono
Q11911,Canton of Berne,Q65921,Grossaffoltern
Q12121,Canton of Lucerne,Q14600,Grossdietwil
Q11911,Canton of Berne,Q67611,Grosshöchstetten
Q12121,Canton of Lucerne,Q7133,Grosswangen
Q12079,Canton of Appenzell Ausserrhoden,Q67200,Grub
Q11943,Canton of Zürich,Q67120,Grüningen
Q11925,Canton of the Grisons,Q64635,Grüsch
Q12640,Canton of Fribourg,Q69600,Gruyères
Q12771,Canton of Vaud,Q69522,Gryon
Q11911,Canton of Berne,Q65753,Gsteig bei Gstaad
Q11911,Canton of Berne,Q65738,Gsteigwiler
Q11911,Canton of Berne,Q64969,Guggisberg
Q11911,Canton of Berne,Q65560,Gündlischwand
Q11929,Canton of Solothurn,Q66988,Günsberg
Q11929,Canton of Solothurn,Q65851,Gunzgen
Q11911,Canton of Berne,Q67019,Gurbrü
Q12640,Canton of Fribourg,Q66941,Gurmels
Q12404,Canton of Uri,Q65450,Gurtnellen
Q11911,Canton of Berne,Q66613,Gurzelen
Q12640,Canton of Fribourg,Q1555347,Guschelmuth
Q11911,Canton of Berne,Q69419,Guttannen
Q834,Canton of Valais,Q69988,Guttet-Feschel
Q12713,Canton of Thurgau,Q66317,Güttingen
Q11917,Canton of Geneva,Q66504,Gy
Q11911,Canton of Berne,Q64779,Habkern
Q11972,Canton of Aargau,Q64131,Habsburg
Q12146,Canton of Basel-Landschaft,Q65120,Häfelfingen
Q11943,Canton of Zürich,Q65926,Hagenbuch
Q11929,Canton of Solothurn,Q67184,Hägendorf
Q12746,Canton of St. Gallen,Q66087,Häggenschwil
Q11972,Canton of Aargau,Q65286,Hägglingen
Q11911,Canton of Berne,Q67546,Hagneck
Q12697,Canton of Schaffhausen,Q69172,Hallau
Q11972,Canton of Aargau,Q65291,Hallwil
Q11929,Canton of Solothurn,Q66827,Halten
Q11929,Canton of Solothurn,Q66399,Härkingen
Q12121,Canton of Lucerne,Q14555,Hasle
Q11911,Canton of Berne,Q67066,Hasle bei Burgdorf
Q11911,Canton of Berne,Q69424,Hasliberg
Q11929,Canton of Solothurn,Q66060,Hauenstein-Ifenthal
Q12713,Canton of Thurgau,Q66307,Hauptwil-Gottshaus
Q11972,Canton of Aargau,Q65497,Hausen
Q11943,Canton of Zürich,Q65231,Hausen am Albis
Q12640,Canton of Fribourg,Q66876,Haut-Intyamon
Q12640,Canton of Fribourg,Q68380,Haut-Vully
Q12755,Canton of Jura,Q70609,Haute-Ajoie
Q12755,Canton of Jura,Q5682949,Haute-Sorne
Q12771,Canton of Vaud,Q104776665,Hautemorges
Q12640,Canton of Fribourg,Q67300,Hauterive
Q12738,Canton of Neuchâtel,Q70432,Hauterive
Q12640,Canton of Fribourg,Q662294,Hauteville
Q11911,Canton of Berne,Q67768,Häutligen
Q11943,Canton of Zürich,Q65129,Hedingen
Q12713,Canton of Thurgau,Q66405,Hefenhofen
Q12079,Canton of Appenzell Ausserrhoden,Q68315,Heiden
Q11911,Canton of Berne,Q65485,Heiligenschwendi
Q11911,Canton of Berne,Q65206,Heimberg
Q11911,Canton of Berne,Q67655,Heimenhausen
Q11911,Canton of Berne,Q67632,Heimiswil
Q12640,Canton of Fribourg,Q68031,Heitenried
Q11972,Canton of Aargau,Q66686,Hellikon
Q11911,Canton of Berne,Q68603,Hellsau
Q12746,Canton of St. Gallen,Q65631,Hemberg
Q12697,Canton of Schaffhausen,Q66363,Hemishofen
Q12146,Canton of Basel-Landschaft,Q66623,Hemmiken
Q12746,Canton of St. Gallen,Q18446611,Henau
Q11972,Canton of Aargau,Q65319,Hendschiken
Q11943,Canton of Zürich,Q68417,Henggart
Q12771,Canton of Vaud,Q68873,Henniez
Q11929,Canton of Solothurn,Q66089,Herbetswil
Q11911,Canton of Berne,Q67634,Herbligen
Q12713,Canton of Thurgau,Q65761,Herdern
Q834,Canton of Valais,Q69553,Hérémence
Q12592,Canton of Nidwalden,Q570969,Hergiswil
Q12121,Canton of Lucerne,Q14603,Hergiswil bei Willisau
Q12079,Canton of Appenzell Ausserrhoden,Q63970,Herisau
Q11917,Canton of Geneva,Q66200,Hermance
Q12771,Canton of Vaud,Q68852,Hermenches
Q11911,Canton of Berne,Q67391,Hermrigen
Q11943,Canton of Zürich,Q69224,Herrliberg
Q12146,Canton of Basel-Landschaft,Q66572,Hersberg
Q11972,Canton of Aargau,Q110713110,Herznach-Ueken
Q11911,Canton of Berne,Q67499,Herzogenbuchsee
Q11943,Canton of Zürich,Q64967,Hettlingen
Q12121,Canton of Lucerne,Q7153,Hildisrieden
Q11911,Canton of Berne,Q66042,Hilterfingen
Q11929,Canton of Solothurn,Q70044,Himmelried
Q11911,Canton of Berne,Q67564,Hindelbank
Q11943,Canton of Zürich,Q69383,Hinwil
Q11972,Canton of Aargau,Q64526,Hirschthal
Q11943,Canton of Zürich,Q65841,Hittnau
Q12121,Canton of Lucerne,Q7114,Hitzkirch
Q12121,Canton of Lucerne,Q7102,Hochdorf
Q11943,Canton of Zürich,Q68410,Hochfelden
Q11911,Canton of Berne,Q67792,Höchstetten
Q11929,Canton of Solothurn,Q66575,Hochwald
Q11911,Canton of Berne,Q65200,Hofstetten bei Brienz
Q11929,Canton of Solothurn,Q70010,Hofstetten-Flüh
Q12121,Canton of Lucerne,Q7109,Hohenrain
Q12713,Canton of Thurgau,Q66309,Hohentannen
Q11972,Canton of Aargau,Q65627,Holderbank
Q11929,Canton of Solothurn,Q65856,Holderbank
Q12146,Canton of Basel-Landschaft,Q69020,Hölstein
Q11972,Canton of Aargau,Q65969,Holziken
Q11911,Canton of Berne,Q69090,Homberg
Q11943,Canton of Zürich,Q69188,Hombrechtikon
Q12713,Canton of Thurgau,Q67205,Homburg
Q12121,Canton of Lucerne,Q14569,Honau
Q11943,Canton of Zürich,Q68286,Horgen
Q11943,Canton of Zürich,Q70377,Höri
Q12713,Canton of Thurgau,Q66195,Horn
Q11911,Canton of Berne,Q65500,Horrenbach-Buchen
Q11929,Canton of Solothurn,Q67343,Horriwil
Q12121,Canton of Lucerne,Q14570,Horw
Q12404,Canton of Uri,Q65681,Hospental
Q11929,Canton of Solothurn,Q66982,Hubersdorf
Q12079,Canton of Appenzell Ausserrhoden,Q69652,Hundwil
Q11933,Canton of Zug,Q66256,Hünenberg
Q11929,Canton of Solothurn,Q67944,Hüniken
Q11943,Canton of Zürich,Q69367,Hüntwangen
Q11972,Canton of Aargau,Q65696,Hunzenschwil
Q11943,Canton of Zürich,Q65671,Hüttikon
Q12713,Canton of Thurgau,Q65802,Hüttlingen
Q11911,Canton of Berne,Q69619,Huttwil
Q12713,Canton of Thurgau,Q65826,Hüttwilen
Q834,Canton of Valais,Q69535,Icogne
Q11911,Canton of Berne,Q67780,Iffwil
Q11925,Canton of the Grisons,Q15056824,Ilanz/Glion
Q12433,Canton of Schwyz,Q65453,Illgau
Q11943,Canton of Zürich,Q64873,Illnau-Effretikon
Q834,Canton of Valais,Q67789,Inden
Q12433,Canton of Schwyz,Q66330,Ingenbohl
Q11911,Canton of Berne,Q67646,Inkwil
Q12433,Canton of Schwyz,Q66234,Innerthal
Q11911,Canton of Berne,Q69231,Innertkirchen
Q11911,Canton of Berne,Q69487,Ins
Q11911,Canton of Berne,Q68103,Interlaken
Q12121,Canton of Lucerne,Q7097,Inwil
Q11911,Canton of Berne,Q69460,Ipsach
Q11911,Canton of Berne,Q64760,Iseltwald
Q12404,Canton of Uri,Q65573,Isenthal
Q834,Canton of Valais,Q69577,Isérables
Q11972,Canton of Aargau,Q64929,Islisberg
Q12724,Canton of Ticino,Q69804,Isone
Q12724,Canton of Ticino,Q69101,Isorno
Q12146,Canton of Basel-Landschaft,Q66537,Itingen
Q11911,Canton of Berne,Q69690,Ittigen
Q11911,Canton of Berne,Q66585,Jaberg
Q12640,Canton of Fribourg,Q66911,Jaun
Q11911,Canton of Berne,Q10341,Jegenstorf
Q11925,Canton of the Grisons,Q64555,Jenaz
Q11925,Canton of the Grisons,Q65404,Jenins
Q11911,Canton of Berne,Q66943,Jens
Q11972,Canton of Aargau,Q64957,Jonen
Q12771,Canton of Vaud,Q69583,Jongny
Q12746,Canton of St. Gallen,Q65816,Jonschwil
Q12771,Canton of Vaud,Q70701,Jorat-Menthue
Q12771,Canton of Vaud,Q19544878,Jorat-Mézières
Q12771,Canton of Vaud,Q70243,Jouxtens-Mézery
Q12771,Canton of Vaud,Q70490,Juriens
Q11917,Canton of Geneva,Q65538,Jussy
Q11972,Canton of Aargau,Q69048,Kaiseraugst
Q11972,Canton of Aargau,Q67094,Kaiserstuhl
Q11972,Canton of Aargau,Q67904,Kaisten
Q11972,Canton of Aargau,Q65052,Kallern
Q11911,Canton of Berne,Q66482,Kallnach
Q12746,Canton of St. Gallen,Q66786,Kaltbrunn
Q11929,Canton of Solothurn,Q67929,Kammersrohr
Q11911,Canton of Berne,Q65540,Kandergrund
Q11911,Canton of Berne,Q66218,Kandersteg
Q12146,Canton of Basel-Landschaft,Q65837,Känerkinden
Q11929,Canton of Solothurn,Q65575,Kappel
Q11943,Canton of Zürich,Q64589,Kappel am Albis
Q11911,Canton of Berne,Q65924,Kappelen
Q11911,Canton of Berne,Q66655,Kaufdorf
Q11911,Canton of Berne,Q68274,Kehrsatz
Q12713,Canton of Thurgau,Q65777,Kemmental
Q11911,Canton of Berne,Q67618,Kernenried
Q12573,Canton of Obwalden,Q67159,Kerns
Q12640,Canton of Fribourg,Q69871,Kerzers
Q12713,Canton of Thurgau,Q69413,Kesswil
Q11929,Canton of Solothurn,Q66084,Kestenholz
Q11929,Canton of Solothurn,Q64533,Kienberg
Q11911,Canton of Berne,Q66381,Kiesen
Q12146,Canton of Basel-Landschaft,Q66811,Kilchberg
Q11943,Canton of Zürich,Q66633,Kilchberg
Q11972,Canton of Aargau,Q64547,Killwangen
Q834,Canton of Valais,Q67691,Kippel
Q11911,Canton of Berne,Q66463,Kirchberg
Q12746,Canton of St. Gallen,Q64860,Kirchberg
Q11911,Canton of Berne,Q65895,Kirchdorf
Q11972,Canton of Aargau,Q64453,Kirchleerau
Q11911,Canton of Berne,Q69688,Kirchlindach
Q11943,Canton of Zürich,Q68413,Kleinandelfingen
Q12640,Canton of Fribourg,Q69905,Kleinbösingen
Q11929,Canton of Solothurn,Q66173,Kleinlützel
Q11972,Canton of Aargau,Q67135,Klingnau
Q11925,Canton of the Grisons,Q68236,Klosters
Q11943,Canton of Zürich,Q68165,Kloten
Q11943,Canton of Zürich,Q66328,Knonau
Q12121,Canton of Lucerne,Q7137,Knutwil
Q11972,Canton of Aargau,Q69441,Koblenz AG
Q11972,Canton of Aargau,Q68106,Kölliken
Q11911,Canton of Berne,Q64058,Köniz
Q11911,Canton of Berne,Q66211,Konolfingen
Q11911,Canton of Berne,Q66668,Koppigen
Q12713,Canton of Thurgau,Q65830,Kradolf-Schönenberg
Q11911,Canton of Berne,Q65953,Krattigen
Q11911,Canton of Berne,Q65981,Krauchthal
Q12713,Canton of Thurgau,Q63905,Kreuzlingen
Q11911,Canton of Berne,Q67022,Kriechenwil
Q11929,Canton of Solothurn,Q65213,Kriegstetten
Q12121,Canton of Lucerne,Q14571,Kriens
Q11925,Canton of the Grisons,Q64639,Küblis
Q11972,Canton of Aargau,Q64247,Künten
Q11943,Canton of Zürich,Q69216,Küsnacht
Q12433,Canton of Schwyz,Q64183,Küssnacht
Q11972,Canton of Aargau,Q65007,Küttigen
Q12771,Canton of Vaud,Q69520,L'Abbaye
Q12771,Canton of Vaud,Q70597,L'Abergement
Q12771,Canton of Vaud,Q68387,L'Isle
Q12755,Canton of Jura,Q70511,La Baroche
Q12738,Canton of Neuchâtel,Q68838,La Brévine
Q12640,Canton of Fribourg,Q66935,La Brillaz
Q12771,Canton of Vaud,Q52701,La Chaux (Cossonay)
Q12738,Canton of Neuchâtel,Q68124,La Chaux-de-Fonds
Q12738,Canton of Neuchâtel,Q70436,La Chaux-du-Milieu
Q12738,Canton of Neuchâtel,Q68526,La Côte-aux-Fées
Q11911,Canton of Berne,Q69879,La Ferrière
Q12738,Canton of Neuchâtel,Q30743849,La Grande Béroche
Q11911,Canton of Berne,Q69476,La Neuveville
Q12771,Canton of Vaud,Q70549,La Praz
Q11925,Canton of the Grisons,Q65637,La Punt Chamues-ch
Q12771,Canton of Vaud,Q69309,La Rippe
Q12640,Canton of Fribourg,Q67686,La Roche
Q12738,Canton of Neuchâtel,Q68532,La Sagne
Q12771,Canton of Vaud,Q70210,La Sarraz
Q12640,Canton of Fribourg,Q24771,La Sonnaz
Q12738,Canton of Neuchâtel,Q70262,La Tène
Q12771,Canton of Vaud,Q69721,La Tour-de-Peilz
Q12771,Canton of Vaud,Q133572062,La Vallée de Joux
Q12640,Canton of Fribourg,Q67324,La Verrerie
Q11925,Canton of the Grisons,Q69606,Laax
Q12433,Canton of Schwyz,Q67100,Lachen
Q11917,Canton of Geneva,Q69848,Laconnex
Q12755,Canton of Jura,Q68079,Lajoux
Q834,Canton of Valais,Q70169,Lalden
Q12724,Canton of Ticino,Q70030,Lamone
Q12146,Canton of Basel-Landschaft,Q64724,Lampenberg
Q11917,Canton of Geneva,Q64065,Lancy
Q11911,Canton of Berne,Q67809,Landiswil
Q11925,Canton of the Grisons,Q70631,Landquart
Q12146,Canton of Basel-Landschaft,Q64808,Langenbruck
Q11929,Canton of Solothurn,Q66984,Langendorf
Q11911,Canton of Berne,Q69726,Langenthal
Q11943,Canton of Zürich,Q65347,Langnau am Albis
Q11911,Canton of Berne,Q66300,Langnau im Emmental
Q12713,Canton of Thurgau,Q66312,Langrickenbach
Q11925,Canton of the Grisons,Q65104,Lantsch/Lenz
Q12738,Canton of Neuchâtel,Q123995545,Laténa
Q11911,Canton of Berne,Q65903,Lauenen
Q12433,Canton of Schwyz,Q69627,Lauerz
Q12146,Canton of Basel-Landschaft,Q64719,Läufelfingen
Q12146,Canton of Basel-Landschaft,Q68363,Laufen
Q11943,Canton of Zürich,Q66336,Laufen-Uhwiesen
Q11972,Canton of Aargau,Q69191,Laufenburg
Q11911,Canton of Berne,Q67112,Laupen
Q11929,Canton of Solothurn,Q66407,Laupersdorf
Q11911,Canton of Berne,Q67238,Lauperswil
Q12771,Canton of Vaud,Q807,Lausanne
Q12146,Canton of Basel-Landschaft,Q66733,Lausen
Q11911,Canton of Berne,Q64011,Lauterbrunnen
Q12146,Canton of Basel-Landschaft,Q65117,Lauwil
Q12724,Canton of Ticino,Q69684,Lavertezzo
Q12771,Canton of Vaud,Q70250,Lavey-Morcles
Q12771,Canton of Vaud,Q68756,Lavigny
Q12724,Canton of Ticino,Q68005,Lavizzara
Q834,Canton of Valais,Q70363,Lax
Q12755,Canton of Jura,Q68502,Le Bémont
Q12738,Canton of Neuchâtel,Q70456,Le Cerneux-Péquignot
Q12640,Canton of Fribourg,Q68480,Le Châtelard
Q12771,Canton of Vaud,Q52743,Le Chenit
Q12640,Canton of Fribourg,Q68538,Le Flon
Q12640,Canton of Fribourg,Q66436,Le Glèbe
Q11917,Canton of Geneva,Q69714,Le Grand-Saconnex
Q12738,Canton of Neuchâtel,Q70204,Le Landeron
Q12771,Canton of Vaud,Q69546,Le Lieu
Q12738,Canton of Neuchâtel,Q64093,Le Locle
Q12771,Canton of Vaud,Q70221,Le Mont-sur-Lausanne
Q12640,Canton of Fribourg,Q66480,Le Mouret
Q12755,Canton of Jura,Q68522,Le Noirmont
Q12640,Canton of Fribourg,Q69918,Le Pâquier
Q12771,Canton of Vaud,Q69333,Le Vaud
Q11972,Canton of Aargau,Q66347,Leibstadt
Q11972,Canton of Aargau,Q65975,Leimbach
Q11911,Canton of Berne,Q65300,Leissigen
Q12724,Canton of Ticino,Q130372861,Lema
Q11972,Canton of Aargau,Q69429,Lengnau
Q11911,Canton of Berne,Q66473,Lengnau
Q12713,Canton of Thurgau,Q66289,Lengwil
Q11911,Canton of Berne,Q65152,Lenk
Q834,Canton of Valais,Q70361,Lens
Q11972,Canton of Aargau,Q69433,Lenzburg
Q12755,Canton of Jura,Q70232,Les Bois
Q12755,Canton of Jura,Q68086,Les Breuleux
Q12771,Canton of Vaud,Q57090,Les Clées
Q12755,Canton of Jura,Q70411,Les Enfers
Q12755,Canton of Jura,Q69976,Les Genevez
Q12640,Canton of Fribourg,Q67243,Les Montets
