cantonLabel,municipalityLabel,coatOfArmsImage
Canton of Berne,Loveresse,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Loveresse%20COA.svg
Canton of Berne,Lyss,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Lyss%20COA.svg
Canton of Berne,Lyssach,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Lyssach%20COA.svg
Canton of Berne,Lüscherz,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20L%C3%BCscherz%20COA.svg
Canton of Berne,Lütschental,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20L%C3%BCtschental%20COA.svg
Canton of Berne,Lützelflüh,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20L%C3%BCtzelfl%C3%BCh%20COA.svg
Canton of Berne,Madiswil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Madiswil%20COA.svg
Canton of Berne,Matten bei Interlaken,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Matten%20bei%20Interlaken%20COA.svg
Canton of Berne,Mattstetten,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Mattstetten%20COA.svg
Canton of Berne,Meienried,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Meienried%20COA.svg
Canton of Berne,Meikirch,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Meikirch%20COA.svg
Canton of Berne,Meinisberg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Meinisberg%20COA.svg
Canton of Berne,Meiringen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Meiringen%20COA.svg
Canton of Berne,Melchnau,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Melchnau%20COA.svg
Canton of Berne,Merzligen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Merzligen%20COA.svg
Canton of Berne,Mirchel,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Mirchel%20COA.svg
Canton of Berne,Mont-Tramelan,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Mont-Tramelan%20COA.svg
Canton of Berne,Moosseedorf,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Moosseedorf%20COA.svg
Canton of Berne,Muri bei Bern,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Muri%20bei%20Bern%20COA.svg
Canton of Berne,Mörigen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20M%C3%B6rigen%20COA.svg
Canton of Berne,Mühleberg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20M%C3%BChleberg%20COA.svg
Canton of Berne,Münchenbuchsee,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20M%C3%BCnchenbuchsee%20COA.svg
Canton of Berne,Münchenwiler,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20M%C3%BCnchenwiler%20COA.svg
Canton of Berne,Münsingen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20M%C3%BCnsingen%20COA.svg
Canton of Berne,Müntschemier,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20M%C3%BCntschemier%20COA.svg
Canton of Berne,Neuenegg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Neuenegg%20COA.svg
Canton of Berne,Nidau,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Nidau%20COA.svg
Canton of Berne,Niederbipp,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Niederbipp%20COA.svg
Canton of Berne,Niederhünigen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Niederh%C3%BCnigen%20COA.svg
Canton of Berne,Niedermuhlern,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Niedermuhlern%20COA.svg
Canton of Berne,Niederried bei Interlaken,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Niederried%20bei%20Interlaken%20COA.svg
Canton of Berne,Niederried bei Kallnach,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Niederried%20bei%20Kallnach%20COA.svg
Canton of Berne,Niederönz,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Nieder%C3%B6nz%20COA.svg
Canton of Berne,Nods,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Nods%20COA.svg
Canton of Berne,Oberbalm,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Oberbalm%20COA.svg
Canton of Berne,Oberbipp,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Oberbipp%20COA.svg
Canton of Berne,Oberburg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Oberburg%20COA.svg
Canton of Berne,Oberdiessbach,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Oberdiessbach%20COA.svg
Canton of Berne,Oberhofen am Thunersee,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Oberhofen%20am%20Thunersee%20COA.svg
Canton of Berne,Oberhünigen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Oberh%C3%BCnigen%20COA.svg
Canton of Berne,Oberlangenegg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Oberlangenegg%20COA.svg
Canton of Berne,Oberried am Brienzersee,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Oberried%20am%20Brienzersee%20COA.svg
Canton of Berne,Oberthal,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Oberthal%20COA.svg
Canton of Berne,Oberwil bei Büren,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Oberwil%20bei%20B%C3%BCren%20COA.svg
Canton of Berne,Oberwil im Simmental,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Oberwil%20im%20Simmental%20COA.svg
Canton of Berne,Ochlenberg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Ochlenberg%20COA.svg
Canton of Berne,Oeschenbach,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Oeschenbach%20COA.svg
Canton of Berne,Oppligen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Oppligen%20COA.svg
Canton of Berne,Orpund,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Orpund%20COA.svg
Canton of Berne,Orvin,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Orvin%20COA.svg
Canton of Berne,Ostermundigen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Ostermundigen%20COA.svg
Canton of Berne,Perrefitte,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Perrefitte%20COA.svg
Canton of Berne,Petit-Val,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Petit-Val%20COA.svg
Canton of Berne,Pieterlen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Pieterlen%20COA.svg
Canton of Berne,Plateau de Diesse,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Plateau%20de%20Diesse%20COA.svg
Canton of Berne,Pohlern,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Pohlern%20COA.svg
Canton of Berne,Port,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Port%20BE%20COA.svg
Canton of Berne,Péry-La Heutte,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20P%C3%A9ry-La%20Heutte%20COA.svg
Canton of Berne,Radelfingen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Radelfingen%20BE%20COA.svg
Canton of Berne,Rapperswil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Rapperswil%20BE%20official%20COA.svg
Canton of Berne,Rebévelier,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Reb%C3%A9velier%20COA.svg
Canton of Berne,Reconvilier,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Reconvilier%20COA.svg
Canton of Berne,Reichenbach im Kandertal,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Reichenbach%20im%20Kandertal%20COA.svg
Canton of Berne,Reisiswil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Reisiswil%20COA.svg
Canton of Berne,Renan,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Renan%20COA.svg
Canton of Berne,Reutigen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Reutigen%20COA.svg
Canton of Berne,Riggisberg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Riggisberg%20COA.svg
Canton of Berne,Ringgenberg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Ringgenberg%20COA.svg
Canton of Berne,Roches,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Roches%20COA.svg
Canton of Berne,Roggwil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Roggwil%20BE%20COA.svg
Canton of Berne,Rohrbach,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Rohrbach%20COA.svg
Canton of Berne,Rohrbachgraben,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Rohrbachgraben%20COA.svg
Canton of Berne,Romont,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Romont%20BE%20COA.svg
Canton of Berne,Rubigen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Rubigen%20COA.svg
Canton of Berne,Rumendingen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Rumendingen%20COA.svg
Canton of Berne,Rumisberg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Rumisberg%20COA.svg
Canton of Berne,Röthenbach im Emmental,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20R%C3%B6thenbach%20im%20Emmental%20COA.svg
Canton of Berne,Rüderswil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20R%C3%BCderswil%20COA.svg
Canton of Berne,Rüdtligen-Alchenflüh,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20R%C3%BCdtligen-Alchenfl%C3%BCh%20COA.svg
Canton of Berne,Rüeggisberg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20R%C3%BCeggisberg%20COA.svg
Canton of Berne,Rüegsau,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20R%C3%BCegsau%20COA.svg
Canton of Berne,Rüschegg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20R%C3%BCschegg%20COA.svg
Canton of Berne,Rüti bei Büren,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20R%C3%BCti%20bei%20B%C3%BCren%20COA.svg
Canton of Berne,Rüti bei Lyssach,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20R%C3%BCti%20bei%20Lyssach%20COA.svg
Canton of Berne,Rütschelen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20R%C3%BCtschelen%20COA.svg
Canton of Berne,Saanen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Saanen%20COA.svg
Canton of Berne,Safnern,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Safnern%20COA.svg
Canton of Berne,Saicourt,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Saicourt%20COA.svg
Canton of Berne,Saint-Imier,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Saint-Imier%20COA.svg
Canton of Berne,Sauge,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Sauge%20COA.svg
Canton of Berne,Saules,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Saules%20COA.svg
Canton of Berne,Saxeten,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Saxeten%20COA.svg
Canton of Berne,Schangnau,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Schangnau%20COA.svg
Canton of Berne,Schattenhalb,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Schattenhalb%20COA.svg
Canton of Berne,Schelten,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Schelten%20COA.svg
Canton of Berne,Scheuren,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Scheuren%20COA.svg
Canton of Berne,Schwadernau,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Schwadernau%20COA.svg
Canton of Berne,Schwanden bei Brienz,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Schwanden%20bei%20Brienz%20COA.svg
Canton of Berne,Schwarzenburg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Schwarzenburg%20COA.svg
Canton of Berne,Schwarzhäusern,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Schwarzh%C3%A4usern%20COA.svg
Canton of Berne,Schüpfen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Sch%C3%BCpfen%20BE%20COA.svg
Canton of Berne,Seeberg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Seeberg%20COA.svg
Canton of Berne,Seedorf,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Seedorf%20BE%20COA.svg
Canton of Berne,Seehof,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Seehof%20COA.svg
Canton of Berne,Seftigen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Seftigen%20COA.svg
Canton of Berne,Signau,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Signau%20COA.svg
Canton of Berne,Sigriswil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Sigriswil%20COA.svg
Canton of Berne,Siselen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Siselen%20COA.svg
Canton of Berne,Sonceboz-Sombeval,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Sonceboz-Sombeval%20COA.svg
Canton of Berne,Sonvilier,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Sonvilier%20COA.svg
Canton of Berne,Sorvilier,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Sorvilier%20COA.svg
Canton of Berne,Spiez,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Spiez%20COA.svg
Canton of Berne,St. Stephan,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20St%20Stephan%20COA.svg
Canton of Berne,Steffisburg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Steffisburg%20COA.svg
Canton of Berne,Stettlen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Stettlen%20COA.svg
Canton of Berne,Stocken-Höfen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Stocken-H%C3%B6fen%20COA.svg
Canton of Berne,Studen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Studen%20COA.svg
Canton of Berne,Sumiswald,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Sumiswald%20COA.svg
Canton of Berne,Sutz-Lattrigen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Sutz-Lattrigen%20COA.svg
Canton of Berne,Tavannes,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Tavannes%20COA.svg
Canton of Berne,Teuffenthal,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Teuffenthal%20COA.svg
Canton of Berne,Thierachern,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Thierachern%20COA.svg
Canton of Berne,Thun,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Thun%20BE%20COA.svg
Canton of Berne,Thunstetten,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Thunstetten%20COA.svg
Canton of Berne,Thurnen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Thurnen%20COA.svg
Canton of Berne,Thörigen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Th%C3%B6rigen%20COA.svg
Canton of Berne,Toffen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Toffen%20COA.svg
Canton of Berne,Trachselwald,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Trachselwald%20COA.svg
Canton of Berne,Tramelan,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Tramelan%20COA.svg
Canton of Berne,Treiten,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Treiten%20COA.svg
Canton of Berne,Trub,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Trub%20COA.svg
Canton of Berne,Trubschachen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Trubschachen%20COA.svg
Canton of Berne,Tschugg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Tschugg%20COA.svg
Canton of Berne,Twann-Tüscherz,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Twann-T%C3%BCscherz%20COA.svg
Canton of Berne,Täuffelen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20T%C3%A4uffelen%20COA.svg
Canton of Berne,Uebeschi,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Uebeschi%20BE%20COA.svg
Canton of Berne,Uetendorf,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Uetendorf%20COA.svg
Canton of Berne,Unterlangenegg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Unterlangenegg%20COA.svg
Canton of Berne,Unterseen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Unterseen%20COA.svg
Canton of Berne,Ursenbach,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Ursenbach%20COA.svg
Canton of Berne,Urtenen-Schönbühl,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Urtenen-Sch%C3%B6nb%C3%BChl%20COA.svg
Canton of Berne,Uttigen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Uttigen%20COA.svg
Canton of Berne,Utzenstorf,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Utzenstorf%20COA.svg
Canton of Berne,Valbirse,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Valbirse%20COA.svg
Canton of Berne,Vechigen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Vechigen%20COA.svg
Canton of Berne,Villeret,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Villeret%20COA.svg
Canton of Berne,Vinelz,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Vinelz%20COA.svg
Canton of Berne,Wachseldorn,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Wachseldorn%20COA.svg
Canton of Berne,Wald,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Wald%20BE%20COA.svg
Canton of Berne,Walkringen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Walkringen%20COA.svg
Canton of Berne,Walliswil bei Niederbipp,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Walliswil%20bei%20Niederbipp%20COA.svg
Canton of Berne,Walliswil bei Wangen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Walliswil%20bei%20Wangen%20COA.svg
Canton of Berne,Walperswil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Walperswil%20COA.svg
Canton of Berne,Walterswil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Walterswil%20BE%20COA.svg
Canton of Berne,Wangen an der Aare,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Wangen%20an%20der%20Aare%20COA.svg
Canton of Berne,Wattenwil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Wattenwil%20COA.svg
Canton of Berne,Wengi,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Wengi%20COA.svg
Canton of Berne,Wichtrach,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Wichtrach%20COA.svg
Canton of Berne,Wiedlisbach,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Wiedlisbach%20COA.svg
Canton of Berne,Wiggiswil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Wiggiswil%20COA.svg
Canton of Berne,Wilderswil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Wilderswil%20COA.svg
Canton of Berne,Wiler bei Utzenstorf,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Wiler%20bei%20Utzenstorf%20COA.svg
Canton of Berne,Wileroltigen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Wileroltigen%20COA.svg
Canton of Berne,Willadingen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Willadingen%20COA.svg
Canton of Berne,Wimmis,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Wimmis%20COA.svg
Canton of Berne,Wohlen bei Bern,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Wohlen%20bei%20Bern%20COA.svg
Canton of Berne,Worb,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Worb%20COA.svg
Canton of Berne,Worben,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Worben%20COA.svg
Canton of Berne,Wynau,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Wynau%20COA.svg
Canton of Berne,Wynigen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Wynigen%20COA.svg
Canton of Berne,Wyssachen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Wyssachen%20COA.svg
Canton of Berne,Zauggenried,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Zauggenried%20COA.svg
Canton of Berne,Zielebach,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Zielebach%20COA.svg
Canton of Berne,Zollikofen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Zollikofen%20COA.svg
Canton of Berne,Zuzwil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Zuzwil%20BE%20COA.svg
Canton of Berne,Zweisimmen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Zweisimmen%20COA.svg
Canton of Berne,Zäziwil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Z%C3%A4ziwil%20COA.svg
Canton of Fribourg,Attalens,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Attalens%20COA.svg
Canton of Fribourg,Auboranges,http://commons.wikimedia.org/wiki/Special:FilePath/Auboranges-coat%20of%20arms.svg
Canton of Fribourg,Autigny,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Autigny%20COA.svg
Canton of Fribourg,Avry,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Avry%20COA.svg
Canton of Fribourg,Bas-Intyamon,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Bas-Intyamon%20COA.svg
Canton of Fribourg,Belfaux,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Belfaux%20COA.svg
Canton of Fribourg,Belmont-Broye,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Belmont-Broye%20COA.svg
Canton of Fribourg,Billens-Hennens,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Billens-Hennens%20COA.svg
Canton of Fribourg,Bois-d’Amont,http://commons.wikimedia.org/wiki/Special:FilePath/Bois-d%E2%80%99Amont-blazon.svg
Canton of Fribourg,Bossonnens,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Bossonnens%20COA.svg
Canton of Fribourg,Botterens,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Botterens%20COA.svg
Canton of Fribourg,Broc,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Broc%20COA.svg
Canton of Fribourg,Brünisried,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Br%C3%BCnisried%20COA.svg
Canton of Fribourg,Bulle,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Bulle%20COA.svg
Canton of Fribourg,Bösingen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20B%C3%B6singen%20COA.svg
Canton of Fribourg,Chapelle,http://commons.wikimedia.org/wiki/Special:FilePath/Chapelle%20%28Glane%29-coat%20of%20arms.svg
Canton of Fribourg,Cheyres-Châbles,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Cheyres-Ch%C3%A2bles%20COA.svg
Canton of Fribourg,Châtel-Saint-Denis,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Ch%C3%A2tel-Saint-Denis%20COA.svg
Canton of Fribourg,Châtel-sur-Montsalvens,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Ch%C3%A2tel-sur-Montsalvens%20COA.svg
Canton of Fribourg,Châtillon,http://commons.wikimedia.org/wiki/Special:FilePath/Ch%C3%A2tillon.png
Canton of Fribourg,Châtonnaye,http://commons.wikimedia.org/wiki/Special:FilePath/Ch%C3%A2tonnaye-coat%20of%20arms.svg
Canton of Fribourg,Chénens,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Ch%C3%A9nens%20COA.svg
Canton of Fribourg,Corbières,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Corbi%C3%A8res%20COA.svg
Canton of Fribourg,Corminboeuf,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Corminboeuf%20COA.svg
Canton of Fribourg,Cottens,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Cottens%20FR%20COA.svg
Canton of Fribourg,Courgevaux,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Courgevaux%20FR%20COA.svg
Canton of Fribourg,Courtepin,http://commons.wikimedia.org/wiki/Special:FilePath/Courtepin2-coat%20of%20arms.svg
Canton of Fribourg,Cressier,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Cressier%20FR%20COA.svg
Canton of Fribourg,Crésuz,http://commons.wikimedia.org/wiki/Special:FilePath/Cr%C3%A9suz-coat%20of%20arms.svg
Canton of Fribourg,Cugy,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Cugy%20FR%20COA.svg
Canton of Fribourg,Delley-Portalban,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Delley-Portalban%20COA.svg
Canton of Fribourg,Domdidier,http://commons.wikimedia.org/wiki/Special:FilePath/Domdidier.jpg
Canton of Fribourg,Düdingen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20D%C3%BCdingen%20COA.svg
Canton of Fribourg,Echarlens,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Echarlens%20COA.svg
Canton of Fribourg,Ecublens,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20%C3%89cublens%20FR%20COA.svg
Canton of Fribourg,Estavayer,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Estavayer%20COA.svg
Canton of Fribourg,Ferpicloz,http://commons.wikimedia.org/wiki/Special:FilePath/Ferpicloz-coat%20of%20arms.svg
Canton of Fribourg,Fribourg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Fribourg%20COA.svg
Canton of Fribourg,Fräschels,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Fr%C3%A4schels%20COA.svg
Canton of Fribourg,Fétigny,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20F%C3%A9tigny%20COA.svg
Canton of Fribourg,Fétigny-Ménières,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20F%C3%A9tigny-M%C3%A9ni%C3%A8res%20COA.svg
Canton of Fribourg,Gibloux,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Gibloux%20COA.svg
Canton of Fribourg,Giffers,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Giffers%20COA%20Var.svg
Canton of Fribourg,Givisiez,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Givisiez%20COA.svg
Canton of Fribourg,Gletterens,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Gletterens%20COA.svg
Canton of Fribourg,Grandvillard,http://commons.wikimedia.org/wiki/Special:FilePath/Grandvillard-coat%20of%20arms.svg
Canton of Fribourg,Granges,http://commons.wikimedia.org/wiki/Special:FilePath/Granges-coat%20of%20arms.svg
Canton of Fribourg,Granges-Paccot,http://commons.wikimedia.org/wiki/Special:FilePath/Granges-Paccot-coat%20of%20arms.svg
Canton of Fribourg,Grangettes,http://commons.wikimedia.org/wiki/Special:FilePath/Grangettes-coat%20of%20arms.svg
